id,firstname,surname,age,job,nationality,bio_paragraph1,bio_paragraph2,bio_paragraph3,description,filter,image,link_url,link_text
1,Nicola,Adams,32,Boxer,British,Nicola is the world’s first female boxing Olympic Champion and is the current Commonwealth Games and European Games flyweight champion. ,She was awarded an MBE IN 2013 for her services to boxing.,,Boxing champion,further_inspiration,Y,,
2,Ameera ,Ahmad Harouda,32,Journalist's assistant,Libyan,Ameera moved to Gaza as a child. She was one of the only female fixers in the area when she started in 2005. ,"She has worked for CNN, Der Spiegel and The Guardian.",,News assistant,further_inspiration,Y,,
3,Muzzon,al-Mellehan ,16,Campaigner,Syrian,"Muzzon fled with her parents and three younger siblings to Jordan in 2013 and lives in the Al-Azraq refugee camp. 
","She has been dubbed the Malala of Syria for her campaign to keep Syrian girls like her in the camp’s makeshift school, rather than being married off. ",, The 'Malala of Syria',further_inspiration,Y,,
4,Siba,Alaradi,27,"Structural engineer, now volunteer",Syrian,Siba and her family fled from war-torn Damascus to Istanbul. She often felt lonely and disheartened until she heard about a community center in Istanbul for people displaced by the war in Syria.,"Working with the children there has given Siba, a structural engineer who graduated from Damascus University, an opportunity to give something back and be part of a diverse and supportive community.",,Refugee teacher,further_inspiration,Y,,
5,Antonia ,Albert,25,Entrepreneur,German,"Antonia co-founded Careship, an online marketplace for elderly care, with her brother Nikolaus earlier this year.","After finding it difficult to find care for their ill grandmother, they wanted to give users straight-forward access to qualified and certified care professionals.",Antonia features in our '30 under 30' strand.,Senior care provider,thirty_under_thirty,Y,,
6,Sonita ,Alizadeh,18,Rapper,Afghan,Sonita narrowly escaped being sold into marriage as a young girl by writing the song Brides for Sale. ,She now uses her powerful voice and poetic lyrics to advocate an end to forced marriage across the world.,,Rapping for freedom,further_inspiration,Y,,
7,Victoria ,Alonsoperez,27,Entrepreneur,Uruguayan,After studying space engineering she became one of the founders of ieeTECH which looks for engineering solutions to agricultural problems.,The company uses satellites to monitor tagged cattle to help farmers track livestock and detect signs of disease.,Victoria appears in our '30 under 30' strand.  ,Monitoring cattle in Uruguay,thirty_under_thirty,Y,,
8,Niloufar ,Ardalan,30,Footballer,Iranian,Niloufar is the captain of the Iran women’s football team. ,"Known locally as Lady Goal, she became a somewhat reluctant feminist icon after her husband refused to allow her to travel abroad for a tournament.",,National football team captain ,further_inspiration,Y,,
9,Paulina ,Arreola,23,Entrepreneur,Mexican,"Paulina is CEO and co-founder of Lavadero in Mexico City, which collects dirty washing.",The company then either washes or dry cleans it before delivering it back to the customer. ,Paulina features in our '30 under 30' strand.,Laundry takeaway service,thirty_under_thirty,Y,,
10,Masoumeh ,Ataei,31,Acid attack survivor,Iranian,"Blinded and scarred for life after suffering an acid attack at the hands of her ex father-in-law, she then fought for custody of her young son, which would have been awarded to the family who blinded her. ",She eventually won her battle and now campaigns on the issue of acid attacks.,,Acid attack survivor,further_inspiration,Y,,
11,Xyza,Bacani,28,Photographer,Filipino,"Having worked as a domestic worker in Hong Kong for almost a decade, Xyza tells the stories of the victims of human rights violations through photography. ",She is one of the Magnum Foundation Human Rights Fellows 2015 and is currently based in New York.,,Maid turned photographer,further_inspiration,Y,,
12,Alimata,Bara,24,Trader,Burkinabe,"Alimata is from Beguedo, a small village in Eastern Burkina Faso, and is married to an economic migrant working in Italy. Since their marriage in 2009, her husband has only returned twice. ","She thought marrying a migrant would allow her to escape the hardships of rural life, and that she would join him abroad, but instead she spends her time waiting and looking after their two children.",,Migrant 'widow',further_inspiration,Y,,
13,Sana,Ben Ashour,60,Civil society activist,Tunisian,"Sana founded women's shelter BEITY (Arabic for My Home) in 2012, motivated by the need for justice and equality for women in her society. ","It is a unique association in Tunisia that helps single mothers and other women in need, including victims of poverty and domestic violence.",,Women's shelter founder,further_inspiration,Y,,
14,Nicola,Benedetti,28,Musician,British,"One of the most sought after violinists of her generation, Nicola is fiercely committed to music education and to developing young talent.","She is an ambassador for Sistema Scotland’s Big Noise project and vice president of the National Children's Orchestra of Great Britain. She has also developed her own education initiative, The Benedetti Sessions.",,World class violinist,further_inspiration,Y,,
15,Meryl,Benitah,26,Entrepreneur,French,"Meryl set up La Boite Qui Cartonne, a decluttering service after studying at the Sorbonne. ",The company delivers boxes to be packed by the customer and then taken away and stored and can be re-delivered at any time.,Meryl features in our '30 under 30' strand.,Decluttering expert,thirty_under_thirty,Y,,
16,Fatou,Bensouda,54,"Chief Prosecutor, ICC",Gambian,"The chief prosecutor of the International Criminal Court (ICC) in the Hague, she is the first African to hold a top post at the ICC. ","She previously served as a civil servant in the Gambian government, and is the recipient of many awards for her contributions to criminal law. ",Fatou features in our '100 Women Interviews' strand. ,Award-winning lawyer,interviews,Y,,
17,Asha,Bhosle,82,Singer,Indian,"A singing legend who started working in Bollywood in 1943, Asha has been entered in the Guinness Book of Records as the most-recorded artist in music history.","As a playback singer, she has recorded songs to be mimed in 1,000 films by hundreds of actresses. ",,Bollywood singer,further_inspiration,Y,,
18,Cecilia,Bouzat,53,Biophysicist,Argentine,Cecilia is a scientist who has made a significant contribution to our understanding of how brain cells communicate among themselves and with muscles. ,"Her work has opened the door to potential new treatments for Alzheimer's disease, depression and certain addictive behaviours.",,Biophysicist,further_inspiration,Y,,
19,Bobbi,Brown,58,Make-up entrepreneur,American,A professional make-up artist who founded the successful Bobbi Brown Cosmetics brand in the early 1990s. ,"Sick of red lipstick, she was interested in celebrating rather than altering women's features, and forged a more natural look. ",Bobbi features in our '100 Women Interviews' strand. ,Make-up guru,interviews,Y,,
20,Naomi ,Bya’Ombe,15,Schoolgirl,Congolese,"Naomi lives in Kinshasa, DRC, and likes singing and dancing.",Naomi is the fifth child out of seven and also lives with two of her cousins. She is currently finishing secondary school and sings in the church choir every Sunday. ,Naomi appears in our 'good girl' film makers strand.,Congolese schoolgirl,good_girl,Y,,
21,Massiel ,Chávez,15,Schoolgirl,Venezuelan,Massiel wants to be a vet when she is older and is a keen user of social media. ,"Now that she is 15 - traditionally considered the start of adulthood in Latin America - she is excited she will be allowed to paint her nails, wear make-up, and, she hopes, go out to parties alone. ",Massiel appears in our 'good girl' filmmakers strand.,Venezuelan schoolgirl,good_girl,Y,,
22,Eveles,Chimala,29,Midwife,Malawian,"After working in one of the busiest hospitals in Malawi, Eveles decided to go back to studying to help her country tackle its high maternal mortality rate. ",She studies the partograph - a tool designed to help midwives in under-resourced hospitals in Africa monitor women as they give birth. ,Eveles features in our coverage focusing on nursing across the world.,Partograph expert,nurses,Y,,
